,Main Source of Income,Number of Airconditioner,Electricity,House Age,Number of bedrooms,Number of Personal Computer,Total Income from Entrepreneurial Acitivites,Total Household Income,Number of Component/Stereo set,Type of Roof,Number of Washing Machine,Number of Motorized Banca,Number of Cellular phone,Number of Television,Imputed House Rental Value,Toilet Facilities,Type of Walls,House Floor Area,Agricultural Household indicator,Type of Building/House,Number of Stove with Oven/Gas Range,Number of Refrigerator/Freezer,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Motorcycle/Tricycle,Region,Crop Farming and Gardening expenses,Main Source of Water Supply,Tenure Status,Number of CD/VCD/DVD
10,Enterpreneurial Activities,0,1,9,2,0,94140,147005,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,1,1,15000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,40,1,Single house,0,1,0,0,1,CAR,65660,"Own use, faucet, community water system",Own or owner-like possession of house and lot,1
11,Wage/Salaries,0,1,17,3,0,89760,253130,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,6,1,6600,"Water-sealed, sewer septic tank, used exclusively by household",Light,35,0,Single house,0,0,0,0,0,CAR,52260,"Own use, tubed/piped deep well",Own or owner-like possession of house and lot,1
12,Enterpreneurial Activities,0,0,5,1,0,49745,101111,0,"Light material (cogon,nipa,anahaw)",0,0,1,0,6000,"Water-sealed, sewer septic tank, shared with other household",Light,35,1,Single house,0,0,0,0,0,CAR,49745,"Own use, tubed/piped deep well",Own or owner-like possession of house and lot,0
13,Enterpreneurial Activities,0,1,43,3,0,58875,128214,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,1,1,18000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,50,1,Single house,0,0,0,0,1,CAR,32475,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
14,Other sources of Income,0,1,77,1,0,33540,91525,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,0,1,15000,Closed pit,Strong,35,1,Single house,0,0,0,0,0,CAR,33540,"Own use, faucet, community water system",Rent-free house and lot with consent of owner,0
15,Other sources of Income,0,1,35,1,0,19240,171742,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,0,1,12000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,40,0,Single house,0,0,0,0,0,CAR,19240,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
16,Wage/Salaries,0,1,25,1,0,35475,95385,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,1,1,9000,"Water-sealed, sewer septic tank, used exclusively by household",Quite Strong,50,1,Single house,0,1,0,0,0,CAR,35475,"Protected spring, river, stream, etc",Own or owner-like possession of house and lot,0
17,Wage/Salaries,0,1,20,1,0,37893,142843,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,1,7800,Closed pit,Light,35,0,Single house,0,0,0,0,0,CAR,37893,"Own use, tubed/piped deep well",Own or owner-like possession of house and lot,0
18,Enterpreneurial Activities,0,1,1,2,0,42190,88170,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,1,1,6600,"Water-sealed, sewer septic tank, used exclusively by household",Light,40,1,Single house,0,0,0,0,0,CAR,42190,"Shared, faucet, community water system","Own house, rent-free lot with consent of owner",0
19,Enterpreneurial Activities,0,1,7,0,0,77838,97018,0,Mixed but predominantly strong materials,0,0,1,1,4800,Closed pit,Very Light,25,1,Single house,0,0,0,0,0,CAR,49658,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
20,Enterpreneurial Activities,0,1,6,1,0,72315,123015,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,1,1,7200,"Water-sealed, sewer septic tank, shared with other household",Very Light,30,1,Single house,0,0,0,0,0,CAR,72315,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
21,Enterpreneurial Activities,0,1,36,1,0,55510,100900,0,"Light material (cogon,nipa,anahaw)",0,0,2,1,4800,"Water-sealed, other depository, used exclusively by household",Light,35,1,Single house,0,0,0,0,0,CAR,55510,Tubed/piped shallow well,"Own house, rent-free lot with consent of owner",0
22,Other sources of Income,0,1,22,1,0,59410,153312,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,1,1,7800,"Water-sealed, sewer septic tank, used exclusively by household",Light,35,0,Single house,0,0,0,0,1,CAR,27410,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
23,Wage/Salaries,0,1,7,1,0,0,96814,0,Mixed but predominantly light materials,0,0,1,0,6600,"Water-sealed, other depository, used exclusively by household",Light,20,0,Single house,0,0,0,0,0,CAR,0,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
24,Enterpreneurial Activities,0,1,45,0,0,46115,91785,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,1,13200,"Water-sealed, sewer septic tank, used exclusively by household",Strong,24,1,Single house,0,0,0,0,0,CAR,36115,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,1
25,Enterpreneurial Activities,0,1,16,1,0,54200,83600,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,1,9000,"Water-sealed, other depository, used exclusively by household",Very Light,35,1,Single house,0,0,0,0,0,CAR,36200,"Shared, tubed/piped deep well","Own house, rent-free lot with consent of owner",1
26,Other sources of Income,0,1,1,1,0,3700,84330,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,0,0,10800,"Water-sealed, sewer septic tank, shared with other household",Strong,25,0,Single house,0,0,0,0,0,CAR,3700,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
27,Enterpreneurial Activities,0,1,7,2,0,92500,164830,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,1,21000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,32,0,Single house,0,1,0,0,0,CAR,5500,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
28,Enterpreneurial Activities,0,0,13,1,0,36920,87612,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,1,0,4200,Closed pit,Strong,30,0,Single house,0,0,0,0,0,CAR,22820,"Lake, river, rain and others",Own or owner-like possession of house and lot,0
29,Enterpreneurial Activities,0,1,1,1,0,61222,96862,1,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,3,0,4800,Closed pit,Strong,35,1,Single house,0,1,0,0,0,CAR,61222,"Lake, river, rain and others",Own or owner-like possession of house and lot,0
30,Other sources of Income,0,0,14,1,0,28835,65929,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,0,0,4200,Closed pit,Strong,30,1,Single house,0,0,0,0,0,CAR,28835,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
31,Enterpreneurial Activities,0,0,3,0,0,62598,114998,0,"Light material (cogon,nipa,anahaw)",0,0,1,0,7200,Closed pit,Light,25,0,Single house,0,0,0,0,0,CAR,25770,"Unprotected spring, river, stream, etc",Own or owner-like possession of house and lot,0
32,Enterpreneurial Activities,0,1,13,1,0,203490,217720,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,1,0,7200,Closed pit,Light,36,0,Single house,0,0,0,0,1,CAR,13020,"Protected spring, river, stream, etc",Own or owner-like possession of house and lot,0
33,Wage/Salaries,0,1,11,1,0,0,98650,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,0,7200,Closed pit,Light,30,0,Single house,0,0,0,0,0,CAR,0,"Protected spring, river, stream, etc",Own or owner-like possession of house and lot,0
34,Wage/Salaries,0,1,9,0,0,19630,169755,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,1,7800,"Water-sealed, sewer septic tank, used exclusively by household",Quite Strong,30,0,Single house,0,0,0,0,0,CAR,19630,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
35,Wage/Salaries,0,1,16,1,0,17285,143785,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,1,1,6000,"Water-sealed, sewer septic tank, used exclusively by household",Light,30,0,Single house,0,0,0,0,0,CAR,17285,"Protected spring, river, stream, etc",Own or owner-like possession of house and lot,0
36,Other sources of Income,0,1,23,2,0,26500,105805,1,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,1,0,7800,"Water-sealed, sewer septic tank, used exclusively by household",Strong,36,0,Single house,0,1,0,0,0,CAR,0,"Protected spring, river, stream, etc",Own or owner-like possession of house and lot,0
37,Enterpreneurial Activities,0,1,18,2,0,61270,129066,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,3,1,7800,Closed pit,Quite Strong,36,1,Single house,0,0,0,0,1,CAR,31570,"Unprotected spring, river, stream, etc",Own or owner-like possession of house and lot,1
38,Wage/Salaries,0,1,43,1,0,28940,154710,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,1,1,6000,Open pit,Quite Strong,40,0,Single house,0,0,0,0,0,CAR,28940,"Protected spring, river, stream, etc",Own or owner-like possession of house and lot,0
39,Other sources of Income,0,1,28,0,0,19535,203675,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,3,1,7200,"Water-sealed, other depository, used exclusively by household",Quite Strong,30,0,Single house,0,0,0,0,0,CAR,19535,"Protected spring, river, stream, etc",Own or owner-like possession of house and lot,0
40,Enterpreneurial Activities,0,1,25,2,0,88975,186475,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,3,1,7800,"Water-sealed, sewer septic tank, used exclusively by household",Quite Strong,35,1,Single house,0,0,0,0,0,CAR,88975,"Unprotected spring, river, stream, etc",Own or owner-like possession of house and lot,0
41,Enterpreneurial Activities,0,1,17,1,0,60805,104457,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,3,0,6000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,35,1,Single house,0,0,0,0,0,CAR,60805,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
42,Wage/Salaries,0,1,21,1,0,37380,119492,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,1,0,4800,"Water-sealed, sewer septic tank, used exclusively by household",Strong,35,1,Single house,0,0,0,0,0,CAR,37380,"Shared, tubed/piped deep well",Rent-free house and lot with consent of owner,0
43,Wage/Salaries,0,1,6,2,0,7000,304598,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,3,1,36000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,80,0,Single house,0,1,0,0,0,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
44,Wage/Salaries,1,1,20,8,2,0,824148,1,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,2,1,15000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,200,0,Duplex,0,1,0,1,0,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,1
45,Wage/Salaries,1,1,16,2,1,0,169790,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,5,1,15000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,40,0,Single house,0,0,0,0,1,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
46,Wage/Salaries,0,1,18,4,5,0,132275,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,5,1,12000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,85,0,Duplex,0,1,0,0,1,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
47,Enterpreneurial Activities,0,1,19,1,0,535932,559202,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,2,1,21000,"Water-sealed, sewer septic tank, used exclusively by household",Quite Strong,35,0,Single house,0,0,0,0,0,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
48,Enterpreneurial Activities,0,1,19,2,0,44000,111495,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,1,1,9000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,32,0,Duplex,0,0,0,0,0,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,1
49,Wage/Salaries,2,1,19,4,1,139582,977025,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,5,1,60000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,209,0,Duplex,0,1,0,0,1,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,1
50,Other sources of Income,0,1,25,2,0,0,272500,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,7,1,18000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,200,0,Single house,0,1,0,0,1,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
51,Enterpreneurial Activities,2,1,17,4,3,290690,677321,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,5,2,24000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,102,0,Duplex,0,2,0,0,1,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,2
52,Other sources of Income,1,1,15,4,1,0,205570,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,2,1,60000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,238,0,Duplex,0,1,1,0,1,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,1
53,Enterpreneurial Activities,0,1,25,5,1,196720,350740,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,2,1,21000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,100,0,Single house,0,1,0,0,0,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
54,Other sources of Income,0,1,15,3,1,0,206490,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,2,1,33000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,96,0,Single house,0,1,0,0,1,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,1
55,Wage/Salaries,0,1,9,1,0,0,113020,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,0,12000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,36,0,Single house,0,0,0,0,0,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,1
56,Wage/Salaries,0,1,16,3,2,0,740110,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,7,2,42000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,316,0,Single house,0,1,0,0,1,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,1
57,Enterpreneurial Activities,0,1,7,1,1,242456,281236,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,1,14400,"Water-sealed, sewer septic tank, used exclusively by household",Strong,50,0,Single house,0,1,0,0,1,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
58,Other sources of Income,0,1,35,4,0,0,100806,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,1,0,12000,"Water-sealed, sewer septic tank, shared with other household",Strong,63,0,Duplex,0,0,0,0,0,CAR,0,"Shared, faucet, community water system",Rent-free house and lot with consent of owner,0
59,Wage/Salaries,0,1,5,5,0,100200,410190,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,2,1,12000,"Water-sealed, sewer septic tank, used exclusively by household",Quite Strong,50,0,Single house,1,1,0,0,1,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
60,Wage/Salaries,0,1,16,3,1,0,730210,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,2,3,54000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,203,0,Duplex,0,1,1,0,0,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,1
61,Wage/Salaries,0,0,10,0,0,0,113852,0,"Light material (cogon,nipa,anahaw)",0,0,2,0,6000,"Water-sealed, sewer septic tank, used exclusively by household",Light,48,0,Single house,0,0,0,0,0,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
62,Other sources of Income,0,1,11,2,1,0,132645,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,1,12000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,40,0,Duplex,0,1,0,0,1,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,1
63,Wage/Salaries,0,1,12,3,1,0,301423,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,6,1,15000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,100,0,Single house,0,0,0,0,0,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
64,Other sources of Income,1,1,8,2,0,0,143839,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,1,21000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,54,0,Single house,0,0,0,0,1,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
65,Wage/Salaries,0,1,11,2,0,0,301240,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,4,1,18000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,36,0,Single house,0,1,0,0,0,CAR,0,"Own use, faucet, community water system",Own or owner-like possession of house and lot,0
66,Wage/Salaries,0,1,12,1,0,0,117410,0,"Light material (cogon,nipa,anahaw)",0,0,3,0,6000,"Water-sealed, sewer septic tank, shared with other household",Light,36,0,Single house,0,0,0,0,0,CAR,0,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
67,Wage/Salaries,0,1,12,1,0,38635,152913,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,1,1,10800,"Water-sealed, sewer septic tank, used exclusively by household",Light,30,0,Single house,0,0,0,0,1,CAR,38635,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
68,Wage/Salaries,0,1,7,1,0,24800,86964,0,Mixed but predominantly strong materials,0,0,1,0,10200,"Water-sealed, sewer septic tank, used exclusively by household",Quite Strong,30,1,Single house,0,0,0,0,0,CAR,24800,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
69,Wage/Salaries,0,1,18,3,1,0,226761,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,3,1,15000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,50,0,Single house,0,1,0,0,1,CAR,0,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,1
70,Wage/Salaries,0,1,15,1,0,0,153585,0,Mixed but predominantly strong materials,0,0,3,1,9000,"Water-sealed, other depository, used exclusively by household",Quite Strong,48,0,Single house,0,1,0,0,0,CAR,0,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,1
71,Wage/Salaries,0,1,23,1,0,35205,96855,0,"Light material (cogon,nipa,anahaw)",0,0,1,0,11400,"Water-sealed, sewer septic tank, used exclusively by household",Light,35,1,Single house,0,0,0,0,1,CAR,35205,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
72,Wage/Salaries,0,1,2,3,0,0,264520,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,1,13200,"Water-sealed, sewer septic tank, used exclusively by household",Strong,48,0,Single house,0,1,0,0,1,CAR,0,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,1
73,Wage/Salaries,0,1,10,2,0,26905,241065,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,3,0,18000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,63,0,Single house,0,1,0,0,2,CAR,26905,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
74,Other sources of Income,0,1,17,2,0,28970,121751,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,1,1,7200,"Water-sealed, sewer septic tank, used exclusively by household",Very Light,30,1,Single house,0,0,0,0,0,CAR,28970,"Shared, tubed/piped deep well",Rent-free house and lot with consent of owner,0
75,Wage/Salaries,0,1,47,4,0,28010,135071,0,Mixed but predominantly strong materials,0,0,1,1,16200,"Water-sealed, sewer septic tank, used exclusively by household",Quite Strong,84,1,Single house,0,1,0,0,0,CAR,28010,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
76,Other sources of Income,0,1,20,2,0,20795,239836,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,1,19800,"Water-sealed, sewer septic tank, used exclusively by household",Strong,54,0,Single house,0,0,0,0,0,CAR,20795,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
77,Other sources of Income,0,0,26,1,0,20665,67755,0,"Light material (cogon,nipa,anahaw)",0,0,0,0,10200,Closed pit,Light,25,1,Single house,0,0,0,0,0,CAR,20665,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
78,Wage/Salaries,0,1,38,2,0,0,148088,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,1,9600,"Water-sealed, sewer septic tank, shared with other household",Strong,30,0,Single house,0,0,0,0,0,CAR,0,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
79,Enterpreneurial Activities,0,1,25,3,0,119553,255226,1,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,4,1,25800,"Water-sealed, sewer septic tank, used exclusively by household",Strong,72,0,Single house,0,1,0,0,3,CAR,24255,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
80,Wage/Salaries,0,1,19,3,0,15585,175305,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,1,19200,"Water-sealed, sewer septic tank, used exclusively by household",Strong,40,0,Single house,0,0,0,0,1,CAR,15585,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
81,Other sources of Income,0,1,14,2,0,17700,98132,0,Mixed but predominantly strong materials,0,0,1,1,12000,"Water-sealed, sewer septic tank, shared with other household",Strong,42,1,Single house,0,0,0,0,0,CAR,17700,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
82,Other sources of Income,0,1,14,2,0,27496,144206,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,1,15000,"Water-sealed, sewer septic tank, shared with other household",Strong,45,0,Single house,0,1,0,0,0,CAR,1700,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
83,Wage/Salaries,0,1,21,3,0,2800,125505,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,1,16800,"Water-sealed, sewer septic tank, used exclusively by household",Strong,72,0,Single house,0,0,0,0,0,CAR,2800,"Own use, tubed/piped deep well",Own or owner-like possession of house and lot,1
84,Other sources of Income,0,0,1,1,0,24055,67900,0,"Light material (cogon,nipa,anahaw)",0,0,1,0,7800,"Water-sealed, other depository, shared with other household",Light,30,1,Single house,0,0,0,0,0,CAR,24055,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
85,Wage/Salaries,0,0,14,2,0,0,84369,0,Mixed but predominantly strong materials,0,0,1,0,11400,"Water-sealed, sewer septic tank, shared with other household",Quite Strong,35,1,Single house,0,0,0,0,0,CAR,0,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
86,Enterpreneurial Activities,0,1,14,1,0,52798,121743,0,"Light material (cogon,nipa,anahaw)",0,0,1,1,10800,"Water-sealed, sewer septic tank, used exclusively by household",Light,35,0,Single house,0,0,0,0,1,CAR,0,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
87,Other sources of Income,0,1,12,1,0,45886,166080,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,1,9000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,30,0,Single house,0,0,0,0,0,CAR,29266,Dug well,Own or owner-like possession of house and lot,1
